seed,abstraction,n_pairs,n_train,n_test,effective_regimes,final_train_error,monotone_history,sigma_rbf,distance_scale,seed_seconds
0,kahkm_folding_nlms,1200,900,300,15,0.0003073550638366199,1,0.029532052373715298,0.0723275097183975,1.2112698554992676
0,kmeans_hard_nlms,1200,900,300,15,0.06619895629263069,0,0.029532052373715298,0.0723275097183975,1.2129850387573242
0,kmeans_distance_nlms,1200,900,300,15,0.04194049213200215,0,0.029532052373715298,0.0723275097183975,1.2145280838012695
0,kmeans_rbf_nlms,1200,900,300,15,0.011960519621502633,0,0.029532052373715298,0.0723275097183975,1.2161459922790527
1,kahkm_folding_nlms,1200,900,300,15,0.00023158514965118608,1,0.028917515623771754,0.06823527877819778,1.1033070087432861
1,kmeans_hard_nlms,1200,900,300,15,0.06891012002344538,0,0.028917515623771754,0.06823527877819778,1.1047370433807373
1,kmeans_distance_nlms,1200,900,300,15,0.0444941848656222,0,0.028917515623771754,0.06823527877819778,1.1061761379241943
1,kmeans_rbf_nlms,1200,900,300,15,0.011578630542409856,0,0.028917515623771754,0.06823527877819778,1.1077539920806885
2,kahkm_folding_nlms,1200,900,300,15,0.0002081535013830014,1,0.026467516334511373,0.07524899734717073,1.0265400409698486
2,kmeans_hard_nlms,1200,900,300,15,0.06699005148537723,0,0.026467516334511373,0.07524899734717073,1.0280933380126953
2,kmeans_distance_nlms,1200,900,300,15,0.037827010497625574,0,0.026467516334511373,0.07524899734717073,1.0295443534851074
2,kmeans_rbf_nlms,1200,900,300,15,0.013878962431210642,0,0.026467516334511373,0.07524899734717073,1.031111240386963
